Purpose,Mode,Origin,Destination,Time Period,Activity Map,Arrival Map
At Work,WT,STATEN ISLAND,NON-NYC,AM Peak,14,60
At Work,WT,STATEN ISLAND,NON-NYC,Other,14,60
At Work,WT,STATEN ISLAND,STATEN ISLAND,AM Peak,14,60
At Work,WT,STATEN ISLAND,STATEN ISLAND,Other,14,60
At Work,WT,STATEN ISLAND,WHR,AM Peak,14,60
At Work,WT,STATEN ISLAND,WHR,Other,14,60
At Work,WT,WHR,MANHATTAN,AM Peak,13,35
At Work,WT,WHR,MANHATTAN,Other,13,35
At Work,WT,WHR,NON-NYC,AM Peak,14,60
At Work,WT,WHR,NON-NYC,Other,14,60
At Work,WT,WHR,STATEN ISLAND,AM Peak,14,60
At Work,WT,WHR,STATEN ISLAND,Other,14,60
At Work,WT,WHR,WHR,AM Peak,14,60
At Work,WT,WHR,WHR,Other,14,60
Discretionary,DA,MANHATTAN,MANHATTAN,AM Peak,33,113
Discretionary,DA,MANHATTAN,MANHATTAN,Other,32,113
Discretionary,DA,MANHATTAN,NON-NYC,AM Peak,31,114
Discretionary,DA,MANHATTAN,NON-NYC,Other,30,114
Discretionary,DA,MANHATTAN,STATEN ISLAND,AM Peak,31,114
Discretionary,DA,MANHATTAN,STATEN ISLAND,Other,30,114
Discretionary,DA,MANHATTAN,WHR,AM Peak,31,119
Discretionary,DA,MANHATTAN,WHR,Other,30,119
Discretionary,DA,NON-NYC,MANHATTAN,AM Peak,33,113
Discretionary,DA,NON-NYC,MANHATTAN,Other,32,113
Discretionary,DA,NON-NYC,NON-NYC,AM Peak,31,114
Discretionary,DA,NON-NYC,NON-NYC,Other,30,114
Discretionary,DA,NON-NYC,STATEN ISLAND,AM Peak,31,114
Discretionary,DA,NON-NYC,STATEN ISLAND,Other,30,114
Discretionary,DA,NON-NYC,WHR,AM Peak,31,119
Discretionary,DA,NON-NYC,WHR,Other,30,119
Discretionary,DA,STATEN ISLAND,MANHATTAN,AM Peak,33,39
Discretionary,DA,STATEN ISLAND,MANHATTAN,Other,32,39
Discretionary,DA,STATEN ISLAND,NON-NYC,AM Peak,31,55
Discretionary,DA,STATEN ISLAND,NON-NYC,Other,30,55
Discretionary,DA,STATEN ISLAND,STATEN ISLAND,AM Peak,31,55
Discretionary,DA,STATEN ISLAND,STATEN ISLAND,Other,30,55
Discretionary,DA,STATEN ISLAND,WHR,AM Peak,31,124
Discretionary,DA,STATEN ISLAND,WHR,Other,30,124
Discretionary,DA,WHR,MANHATTAN,AM Peak,33,39
Discretionary,DA,WHR,MANHATTAN,Other,32,39
Discretionary,DA,WHR,NON-NYC,AM Peak,31,55
Discretionary,DA,WHR,NON-NYC,Other,30,55
Discretionary,DA,WHR,STATEN ISLAND,AM Peak,31,55
Discretionary,DA,WHR,STATEN ISLAND,Other,30,55
Discretionary,DA,WHR,WHR,AM Peak,31,55
Discretionary,DA,WHR,WHR,Other,30,55
Discretionary,DC,MANHATTAN,MANHATTAN,AM Peak,30,103
Discretionary,DC,MANHATTAN,MANHATTAN,Other,30,103
Discretionary,DC,MANHATTAN,NON-NYC,AM Peak,31,104
